ecrivain,ecrivainLabel,nationaliteLabel,dateNaissance,dateMort,lieuNaissanceLabel,lieuDecesLabel,GeolocLieuNaissance,GeolocLieuDeces
http://www.wikidata.org/entity/Q57382,Christa Wolf,Allemagne,1929-03-18T00:00:00Z,2011-12-01T00:00:00Z,Gorzów Wielkopolski,Berlin,Point(15.25 52.733333333),Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q47087,Arthur C. Clarke,Royaume-Uni,1917-12-16T00:00:00Z,2008-03-19T00:00:00Z,Minehead,Colombo,Point(-3.4738 51.2038),Point(79.833333333 6.916666666)
http://www.wikidata.org/entity/Q57389,Alfred Döblin,Allemagne,1878-08-10T00:00:00Z,1957-06-26T00:00:00Z,Szczecin,Emmendingen,Point(14.555277777 53.424722222),Point(7.849166666 48.121388888)
http://www.wikidata.org/entity/Q57389,Alfred Döblin,France,1878-08-10T00:00:00Z,1957-06-26T00:00:00Z,Szczecin,Emmendingen,Point(14.555277777 53.424722222),Point(7.849166666 48.121388888)
http://www.wikidata.org/entity/Q43736,Yasunari Kawabata,Japon,1899-06-11T00:00:00Z,1972-04-16T00:00:00Z,Osaka,Zushi,Point(135.5022 34.69374),Point(139.580277777 35.295555555)
http://www.wikidata.org/entity/Q46248,Terry Pratchett,Royaume-Uni,1948-04-28T00:00:00Z,2015-03-12T00:00:00Z,Beaconsfield,Broad Chalke,Point(-0.634680555 51.600872222),Point(-1.943 51.028)
http://www.wikidata.org/entity/Q61601,Georg Heym,Empire allemand,1887-10-30T00:00:00Z,1912-01-16T00:00:00Z,Jelenia Góra,Berlin,Point(15.733333333 50.9),Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q45124,Hamza Hakimzade Niyazi,Union des républiques socialistes soviétiques,1889-03-06T00:00:00Z,1929-03-18T00:00:00Z,Kokand,Chakhimardan,Point(70.9425 40.528611111),Point(71.798333333 39.979444444)
http://www.wikidata.org/entity/Q55767,Astrid Lindgren,Suède,1907-11-14T00:00:00Z,2002-01-28T00:00:00Z,Vimmerby,Stockholm,Point(15.855066742 57.668639398),Point(18.068611111 59.329444444)
http://www.wikidata.org/entity/Q44336,Thomas Bernhard,Autriche,1931-02-09T00:00:00Z,1989-02-12T00:00:00Z,Heerlen,Gmunden,Point(5.983333333 50.883333333),Point(13.799444444 47.918055555)
http://www.wikidata.org/entity/Q47561,Ivo Andrić,République fédérative socialiste de Yougoslavie,1892-10-10T00:00:00Z,1975-03-13T00:00:00Z,Dolac,Belgrade,Point(17.6708 44.22),Point(20.466666666 44.816666666)
http://www.wikidata.org/entity/Q63837,Hans Hellmut Kirst,Allemagne,1914-12-05T00:00:00Z,1989-02-23T00:00:00Z,Ostróda,Werdum,Point(19.966666666 53.7),Point(7.719722222 53.656666666)
http://www.wikidata.org/entity/Q47484,André Gide,France,1869-11-22T00:00:00Z,1951-02-19T00:00:00Z,Paris,Paris,Point(2.351827777 48.856577777),Point(2.351827777 48.856577777)
http://www.wikidata.org/entity/Q55993,Kenji Miyazawa,Japon,1896-08-27T00:00:00Z,1933-09-21T00:00:00Z,Hanamaki,Hanamaki,Point(141.116666666 39.388611111),Point(141.116666666 39.388611111)
http://www.wikidata.org/entity/Q60785,Ricarda Huch,Allemagne,1864-07-18T00:00:00Z,1947-11-17T00:00:00Z,Brunswick,Q2258753,Point(10.521111111 52.269166666),Point(8.51639 50.1833)
