artist,artistLabel,birthPlaceLabel,coordsBP,coordsBPPast,pic,causeLabel,signat,plBurialLabel,plBurialCoords,plBurialCoordsPast,deathDate,generated
http://www.wikidata.org/entity/Q19631451,Julien Turbiau,Lamballe,"48.856577777, 2.351827777","-2.517777777,48.468611111",http://commons.wikimedia.org/wiki/Special:FilePath/Turbiau%20Julien%20%28portrait%29%201932%2C%20Bretagne%2C%20m%C3%A9daillon%20%28coll.%20Ucciani%29.jpeg,,http://commons.wikimedia.org/wiki/Special:FilePath/Turbiau%20Julien%20%28tabl%29%201913%2C%20meule%2C%20parc%20montauzan%2C%20b%20signature.jpg,,"48.838055555,2.326944444",,1935-01-01,1206
http://www.wikidata.org/entity/Q19683456,Henry Déziré,Libourne,"49.815938878, 13.395051407","-0.243888888,44.915277777",http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20D%C3%A9zir%C3%A9%2C%20vers%201900.tiff,,,,"48.887777777,2.330277777",,1965-08-31,1207
http://www.wikidata.org/entity/Q19832695,William Albert Ablett,Paris,"48.856577777, 2.351827777","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/William%20Albert%20Ablett%20portrait.png,,,,"48.888963888,2.339222222",,1936-04-25,1208
http://www.wikidata.org/entity/Q19860975,Georges Dorignac,Bordeaux,"45.560277777, 18.670277777","-0.579444444,44.837777777",http://commons.wikimedia.org/wiki/Special:FilePath/Dorignac%20autoportrait.jpg,,,,"45.835694444,15.984444444",,1925-12-21,1209
http://www.wikidata.org/entity/Q19894358,Josephine Calamatta,Paris,"47.217222222, -1.553888888","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Anne-Jos%C3%A9phine-C%C3%A9cile%20Raoul-Rochette%2C%20by%20Jean-Auguste-Dominique%20Ingres.jpg,,,,"47.2232,-1.5678",,1893-12-10,1210
http://www.wikidata.org/entity/Q19917548,Gustav Wertheimer,Vienna,"48.856577777, 2.351827777","16.373064,48.20833",http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Wertheimer%20%281847-1902%29%20Foto.png,,,,"48.861944444,2.394166666",,1902-08-24,1211
http://www.wikidata.org/entity/Q19945024,Henry-Julien Detouche,Paris,"50.846666666, 4.3525","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20Detouche%20par%20Armand%20Rassenfosse.jpg,,,,"48.861944444,2.394166666",,1913-01-01,1212
http://www.wikidata.org/entity/Q19951862,André Beuzebosc,Le Havre,"48.804444444, 6.342222222","0.108055555,49.494166666",http://commons.wikimedia.org/wiki/Special:FilePath/1981%20-%20Andr%C3%A9%20BEUZEBOSC.jpg,,,,"48.887777777,2.330277777",,1992-01-16,1213
http://www.wikidata.org/entity/Q19958508,Gustave Popelin,Paris,"47.748611111, 7.339166666","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Popelin%20photo%20portrait.png,,,,"48.861944444,2.394166666",,1937-01-01,1214
http://www.wikidata.org/entity/Q19958566,Jean-Baptiste Sabatier-Blot,Lassur,"43.714722222, 5.310833333","1.736944444,42.769444444",http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Baptiste%20Sabatier-Blot%20-%20Louis%20Jacques%20Mande%20Daguerre%20-%20Google%20Art%20Project.jpg,,,,"43.523759,5.459511",,1881-01-01,1215
http://www.wikidata.org/entity/Q20089685,Henri Michel-Lévy,Paris,"48.804722222, 2.134166666","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Henri%20Michel-L%C3%A9vy%20by%20Edgar%20Degas.jpg,,,,"48.861944444,2.394166666",,1914-09-17,1216
http://www.wikidata.org/entity/Q20241017,Claude Lagoutte,Rochefort,"48.856577777, 2.351827777","-0.966944444,45.941944444",http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Lagoutte%201.jpg,,,,"48.838055555,2.326944444",,1990-07-18,1217
http://www.wikidata.org/entity/Q20640629,Henri Adrien Tanoux,Marseille,"46.669722222, -1.427777777","5.38107,43.29695",http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Adrien%20Tanoux%2C%20French%20painter.jpg,,,,"48.861944444,2.394166666",,1923-01-01,1218
http://www.wikidata.org/entity/Q20640629,Henri Adrien Tanoux,Marseille,"48.856577777, 2.351827777","5.376388888,43.296666666",http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Adrien%20Tanoux%2C%20French%20painter.jpg,,,,"48.861944444,2.394166666",,1923-01-01,1219
http://www.wikidata.org/entity/Q20851343,Julien-Michel Gué,Cap-Haïtien,"53.411944444, 26.991666666","-72.2,19.75",http://commons.wikimedia.org/wiki/Special:FilePath/Julien-Michel%20Gu%C3%A9.jpg,,,,"48.838055555,2.326944444",,1843-12-13,1220
http://www.wikidata.org/entity/Q20950183,Frédéric-Auguste Laguillermie,Paris,"13.091380555, -86.000988888","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Auguste%20Laguillermie%20Album%20Mariani.png,,,,"48.838055555,2.326944444",,1934-12-15,1221
http://www.wikidata.org/entity/Q20991602,Thérèse Geraldy,Paris,"49.245555555, 1.411666666","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9r%C3%A8se%20%281904%29.PNG,,,,"48.861944444,2.394166666",,1965-07-31,1222
http://www.wikidata.org/entity/Q21098813,Geoffroy Dumonstier,Saint-Étienne-du-Rouvray,"48.706666666, 0.220833333","1.104166666,49.377777777",http://commons.wikimedia.org/wiki/Special:FilePath/%D0%96%D0%BE%D1%84%D1%84%D1%80%D1%83%D0%B0%20%D0%94%D1%8E%D0%BC%D1%83%D1%81%D1%82%D1%8C%D0%B5.jpg,,,,"48.861944444,2.394166666",,1573-10-23,1223
http://www.wikidata.org/entity/Q21458258,Maurice Poirson,Paris,"44.837777777, -0.579444444","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Poirson%201882.jpg,,,,"48.887777777,2.330277777",,1882-12-01,1224
http://www.wikidata.org/entity/Q21465404,Jules Héreau,Paris,"48.856577777, 2.351827777","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20H%C3%A9reau%20d%27apr%C3%A8s%20Mulnier%20%28photo%29.jpg,,,,"48.861944444,2.394166666",,1879-06-27,1225
http://www.wikidata.org/entity/Q21511724,Guido Llinás,Pinar del Río Province,"48.956666666, 4.364444444","-83.6719,22.4122",http://commons.wikimedia.org/wiki/Special:FilePath/Guido%20Llin%C3%A1s.jpeg,,,,"48.861944444,2.394166666",,2005-07-04,1226
http://www.wikidata.org/entity/Q21609234,Eugénie Tripier-Le-Franc,Paris,"48.956666666, 4.364444444","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Brooklyn%20Museum%20-%20Portrait%20of%20Eug%C3%A9nie%20Tripier-Le-Franc%20%28Portrait%20d%27Eug%C3%A9nie%20Tripier-Le-Franc%29%20or%20Self-Portrait%20-%20Eug%C3%A9nie%20Tripier-Le-Franc.jpg,,,,"48.861944444,2.394166666",,1872-01-01,1227
http://www.wikidata.org/entity/Q21699256,Henri Sieurac,Paris,"49.265277777, 4.028611111","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Augustins%20-%20La%20renaissance%20des%20arts%20et%20des%20lettres%20-%20Henri%20Sieurac%20D%201857%202.jpg,,,,"48.85305556,2.34277778",,1863-12-18,1228
http://www.wikidata.org/entity/Q21850048,Albert Chartier,Contres,"49.265277777, 4.028611111","1.427777777,47.418888888",http://commons.wikimedia.org/wiki/Special:FilePath/1936-1-Atelier%20AC.jpg,,,,"48.85305556,2.34277778",,1992-02-05,1229
http://www.wikidata.org/entity/Q22017515,Henry d'Estienne,Conques-sur-Orbiel,"54.862222222, 69.140833333","2.401666666,43.27",http://commons.wikimedia.org/wiki/Special:FilePath/Henry%20d%27Estienne.png,,,,"48.805833333,2.309166666",,1949-03-11,1230
http://www.wikidata.org/entity/Q22094714,Alexandre Cuvelier,Saint-Omer,"46.2, 6.15","2.260833333,50.748333333",http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Cuvelier%20peintre.jpg,,,,"48.861944444,2.394166666",,1913-08-19,1231
http://www.wikidata.org/entity/Q22132058,Paul Émile Berton,Chartrettes,"-20.878888888, 55.448055555","2.703611111,48.4875",http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20%C3%89mile%20Berton%20-%20Vision%20Antique%201899.jpg,,,,"48.897777777,2.316666666",,1909-02-15,1232
http://www.wikidata.org/entity/Q22210474,Pauline Delacroix-Garnier,Passy,"36.800833333, 10.18","2.284136111,48.857111111",http://commons.wikimedia.org/wiki/Special:FilePath/Pauline%20Delacroix-Garnier%20%28Benque%29.png,,,,"48.838055555,2.326944444",,1912-02-01,1233
http://www.wikidata.org/entity/Q22704254,Mary Piriou,Morlaix,"48.856577777, 2.351827777","-3.827777777,48.5775",http://commons.wikimedia.org/wiki/Special:FilePath/723%20Mary%20Piriou.JPG,,,,"48.861944444,2.394166666",,1956-01-03,1234
http://www.wikidata.org/entity/Q22912248,Philippe Vleughels,Antwerp,"48.856577777, 2.351827777","4.4,51.216666666",http://commons.wikimedia.org/wiki/Special:FilePath/Philippus%20Vleughels%20Antverpiensis%20Regius%20pictor.jpg,,,,"48.861944444,2.394166666",,1694-03-22,1235
http://www.wikidata.org/entity/Q23009945,Rémy Lejeune,Montrouge,"48.284166666, 6.949166666","2.321111111,48.816388888",http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A9my%20Lejeune%20%28Lador%C3%A9%29.jpg,,,,"48.861944444,2.394166666",,1996-07-17,1236
http://www.wikidata.org/entity/Q23310084,Henriette Daux,Paris,"50.748333333, 2.260833333","2.351827777,48.856577777",http://commons.wikimedia.org/wiki/Special:FilePath/Henriette%20Daux%20%28Benque%29.png,,,,"48.887777777,2.330277777",,1953-01-01,1237
