Compositeur;Titre;date de la premiere;lieu de la premiere;coordonnées;langue de l'opéra;image
Jacques Offenbach;Le Violoneux;1855-08-31;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Offenbach-le-violoneux.jpg
Jacques Offenbach;Ba-ta-clan;1855-12-29;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Offenbach-Bataclan.jpg
Daniel François Esprit Auber;Manon Lescaut;1856-02-23;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Alexandre Dargomyjski;La Roussalka;1856-05-16;théâtre Mariinsky;59.925555555,30.296111111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Chaliapin%20F.%20%28%D0%A8%D0%B0%D0%BB%D1%8F%D0%BF%D0%B8%D0%BD%20%D0%A4.%20%D0%98.%29%201916%20as%20melnik%20in%20Rusalka.jpg
Jacques Offenbach;La Rose de Saint-Flour;1856-06-12;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Le 66;1856-07-31;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Le Financier et le Savetier;1856-09-23;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Offenbach%20by%20Nadar.jpg
Jacques Offenbach;La Bonne d'enfant;1856-10-14;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Labonnedenfant01.jpg
Saverio Mercadante;Pelagio;1857-02-12;Teatro San Carlo;40.8375,14.249444444;italien;
Jacques Offenbach;Croquefer;1857-02-12;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Giuseppe Verdi;Simon Boccanegra;1857-03-12;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Giuseppe%20Verdi%2C%20Simon%20Boccanegra%20first%20edition%20libretto%20for%20the%201881%20revision%20of%20the%20opera%20-%20Restoration.jpg
Jacques Offenbach;Dragonette;1857-03-30;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Dragonette-valse.JPEG
Georges Bizet;Le Docteur Miracle;1857-04-09;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20bizet.jpg
Jacques Offenbach;Vent-du-Soir ou l'Horrible Festin;1857-05-16;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Une demoiselle en loterie;1857-07-27;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Le Mariage aux lanternes;1857-10-10;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Mesdames de la Halle;1858-03-03;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Orphée aux Enfers;1858-10-21;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Giacomo Meyerbeer;Le Pardon de Ploërmel;1859-04-04;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/Poster%20for%20Le%20pardon%20de%20Plo%C3%ABrmel%201859%20-%20Letellier2008p190.jpg
Léo Delibes;L'Omelette à la Follembuche;1859-06-08;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Un mari à la porte;1859-06-22;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Geneviève de Brabant;1859-11-19;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Daphnis et Chloé;1860-03-27;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Gaetano Donizetti;Rita;1860-05-07;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Jacques Offenbach;Barkouf;1860-12-24;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Jacques Offenbach;La Chanson de Fortunio;1861-01-05;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Le Pont des soupirs;1861-03-23;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Cr%C3%A9mieux%20et%20Hal%C3%A9vy%2C%20Le%20Pont%20des%20soupirs%20-%201868.djvu
Jacques Offenbach;Monsieur Choufleuri restera chez lui le...;1861-09-14;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Apothicaire et Perruquier;1861-10-17;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Offenbach%20by%20Nadar.jpg
Jacques Offenbach;Le Roman comique;1861-12-10;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Monsieur et Madame Denis;1862-01-11;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Georges Bizet;Les Pêcheurs de perles;1863-09-30;Théâtre-Lyrique;48.867486,2.364964;français;
Jacques Offenbach;Les Géorgiennes;1864-03-16;théâtre des Variétés;48.871111111,2.341944444;français;
Jacques Offenbach;La Belle Hélène;1864-12-17;théâtre des Variétés;48.871111111,2.341944444;français;
Giacomo Meyerbeer;L'Africaine;1865-04-28;opéra Le Peletier;48.872929,2.338972;français;
Richard Wagner;Tristan und Isolde;1865-06-10;Théâtre national;48.139722222,11.578888888;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Tristan%20and%20Isolde%20libretto%20title.png
Stanisław Moniuszko;Das Gespensterschloss;1865-09-28;Grand Théâtre de Varsovie;52.24333333,21.01083333;polonais;http://commons.wikimedia.org/wiki/Special:FilePath/Straszny%20Dw%C3%B3r.jpg
Bedřich Smetana;La Fiancée vendue;1866-05-30;Provisional Theatre;50.080681,14.41358;tchèque;http://commons.wikimedia.org/wiki/Special:FilePath/Prodana%20cover%201919.JPG
Jacques Offenbach;La Vie parisienne;1866-10-31;théâtre du Palais-Royal;48.8662,2.337638888;français;
Ambroise Thomas;Mignon;1866-11-17;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/Mignon%20%28opera%29%201866%20poster%20NGO3p383.jpg
Giuseppe Verdi;Don Carlos;1867-03-11;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/Don%20Carlos%20poster.png
Giuseppe Verdi;Don Carlos;1867-03-11;opéra de Paris;48.8719697,2.3316014;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Don%20Carlos%20poster.png
Jacques Offenbach;Robinson Crusoé;1867-11-23;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Georges Bizet;La Jolie Fille de Perth;1867-12-26;Théâtre-Lyrique;48.867486,2.364964;français;http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A2%D0%B8%D1%82%D1%83%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D0%BB%D0%B8%D1%81%D1%82%20%D0%BE%D0%BF%D0%B5%D1%80%D1%8B%20%D0%9F%D0%B5%D1%80%D1%82%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BA%D1%80%D0%B0%D1%81%D0%B0%D0%B2%D0%B8%D1%86%D0%B0%201867%20%D0%B3%D0%BE%D0%B4.png
Ambroise Thomas;Hamlet;1868-03-09;opéra Le Peletier;48.872929,2.338972;français;http://commons.wikimedia.org/wiki/Special:FilePath/Hamlet%20%28opera%29%20by%20Thomas%2C%20Cover%20of%20Piano-Vocal%20Score.jpg
Jacques Offenbach;Le Château à Toto;1868-05-06;théâtre du Palais-Royal;48.8662,2.337638888;français;
Bedřich Smetana;Dalibor;1868-05-16;Provisional Theatre;50.080681,14.41358;tchèque;http://commons.wikimedia.org/wiki/Special:FilePath/Smetana1854portrait.jpg
Jacques Offenbach;L'Île de Tulipatan;1868-09-30;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;La Périchole;1868-10-06;théâtre des Variétés;48.871111111,2.341944444;français;
Piotr Ilitch Tchaïkovski;Le Voïévode;1869-01-30;théâtre Bolchoï;55.760277777,37.618611111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%BE%D0%B5%D0%B2%D0%BE%D0%B4%D0%B0.jpg
Jacques Offenbach;Vert-Vert;1869-03-10;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;;
Antônio Carlos Gomes;Il Guarany;1870-03-19;La Scala;45.467777777,9.188611111;italien;
Richard Wagner;Die Walküre;1870-06-26;Théâtre national;48.139722222,11.578888888;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Schott%27s%201899%20Walkure%20title.jpg
Jacques Offenbach;Boule de neige;1871-12-14;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Offenbach-Boule-de-neige.jpg
Giuseppe Verdi;Aida;1871-12-24;opéra Khédival du Caire;30.0508,31.248;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Aida%20poster%20colors%20fixed.jpg
Jacques Offenbach;Le Roi Carotte;1872-01-15;théâtre de la Gaîté;48.8665,2.35333;français;http://commons.wikimedia.org/wiki/Special:FilePath/Henri%20Meyer%20-%20Affiche%20Le%20Roi%20Carotte%20-%201892.jpeg
Jacques Offenbach;Fantasio;1872-01-18;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Georges Bizet;Djamileh;1872-05-22;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Jacques Offenbach;Les Braconniers;1873-01-29;théâtre des Variétés;48.871111111,2.341944444;français;
Jacques Offenbach;Pomme d'api;1873-09-04;théâtre de la Renaissance;48.869027777,2.356388888;français;http://commons.wikimedia.org/wiki/Special:FilePath/Pomme%20d%27api%20Quadrille.jpg
Jacques Offenbach;La Jolie Parfumeuse;1873-11-29;théâtre de la Renaissance;48.869027777,2.356388888;français;
Modeste Moussorgski;Boris Godounov;1874-02-08;théâtre Mariinsky;59.925555555,30.296111111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Chaliapin%20Godunov%201912.jpg
Johann Strauss II;Die Fledermaus;1874-04-05;Theater an der Wien;48.199166666,16.363611111;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Opera%20in%20the%20Heights%2C%20Die%20Fledermaus%20-%200442.jpg
Piotr Ilitch Tchaïkovski;L'Opritchnik;1874-04-12;théâtre Mariinsky;59.925555555,30.296111111;russe;
Jacques Offenbach;Bagatelle;1874-05-21;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Offenbach%20by%20Nadar.png
Jacques Offenbach;Madame l'archiduc;1874-10-31;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Francisco Asenjo Barbieri;El Barberillo de Lavapiés;1874-12-19;Teatro de la Zarzuela;40.417186111,-3.696780555;espagnol;
Anton Rubinstein;Il demone;1875-01-25;théâtre Mariinsky;59.925555555,30.296111111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Fedor%20Shalaypin%20as%20Demon%20in%20Rubinstein%27s%20opera%20%281903%2C%20GRM%29.jpg
Georges Bizet;Carmen;1875-03-03;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20-%20illustration%20by%20Luc%20for%20Journal%20Amusant%201875.jpg
Georges Bizet;Carmen;1875-03-03;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/Carmen%20-%20illustration%20by%20Luc%20for%20Journal%20Amusant%201875.jpg
Jacques Offenbach;La boulangère a des écus;1875-10-19;théâtre des Variétés;48.871111111,2.341944444;français;
Jacques Offenbach;Le Voyage dans la Lune;1875-10-26;théâtre de la Gaîté;48.8665,2.35333;français;http://commons.wikimedia.org/wiki/Special:FilePath/Ancourt%20-%20Offenbach.jpg
Jacques Offenbach;Tarte à la crème;1875-12-14;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Offenbach%20by%20Nadar.png
Richard Wagner;Götterdämmerung;1876-08-17;palais des festivals de Bayreuth;49.959694444,11.579666666;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Waltraute%20confronts.jpg
Jacques Offenbach;Pierrette et Jacquot;1876-10-13;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;La Boîte au lait;1876-11-03;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Le Docteur Ox;1877-01-26;théâtre des Variétés;48.871111111,2.341944444;français;
Emmanuel Chabrier;L'Étoile;1877-11-28;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Charles Lecocq;Le petit duc;1878-01-25;théâtre de la Renaissance;48.869027777,2.356388888;français;
Jacques Offenbach;Maître Péronilla;1878-11-29;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Camille Saint-Saëns;Étienne Marcel;1879-02-08;opéra de Lyon;45.76778,4.83667;français;
Edmond Audran;Les Noces d'Olivette;1879-11-13;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Jacques Offenbach;Belle Lurette;1880-10-30;théâtre de la Renaissance;48.869027777,2.356388888;français;
Nikolaï Rimski-Korsakov;Snégourotchka (Rimski-Korsakov);1881-01-01;théâtre Mariinsky;59.925555555,30.296111111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/RIAN%20archive%20855728%20Rimsky-Korsakov%27s%20Snow%20Maiden%20in%20the%20Bolshoi%20Theater.jpg
Jacques Offenbach;Les Contes d'Hoffmann;1881-02-10;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Contes%20d%27Hoffmann.jpg
Piotr Ilitch Tchaïkovski;La Pucelle d'Orléans;1881-02-25;théâtre Mariinsky;59.925555555,30.296111111;russe;
Jacques Offenbach;Mademoiselle Moucheron;1881-10-05;théâtre de la Renaissance;48.869027777,2.356388888;français;http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Offenbach%20by%20Nadar.jpg
Ambroise Thomas;Françoise de Rimini;1882-04-14;palais Garnier;48.871944444,2.331666666;;
Richard Wagner;Parsifal;1882-07-26;palais des festivals de Bayreuth;49.959694444,11.579666666;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Parsifal%20%281882%20retuschiert%29.jpg
Léo Delibes;Lakmé;1883-04-14;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/Lakm%C3%A9.jpg
Ernest Reyer;Sigurd;1884-01-07;La Monnaie;50.849583,4.354167;français;
Jules Massenet;Manon;1884-01-19;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/Manonlescaut1.jpg
Giacomo Puccini;Le Villi;1884-05-31;Teatro dal Verme;45.467222,9.181111;italien;
Arthur Sullivan;The Mikado;1885-03-14;Savoy Theatre;51.5101,-0.121;anglais;http://commons.wikimedia.org/wiki/Special:FilePath/The%20Mikado%20Three%20Little%20Maids.jpg
Amilcare Ponchielli;Marion Delorme;1885-03-17;La Scala;45.467777777,9.188611111;italien;
Jules Massenet;Le Cid;1885-11-30;palais Garnier;48.871944444,2.331666666;français;http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Cid%20Massenet.JPG
André Messager;La Béarnaise;1885-12-12;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;
Alfredo Catalani;Edmea;1886-02-27;La Scala;45.467777777,9.188611111;italien;
Emmanuel Chabrier;Gwendoline;1886-04-10;La Monnaie;50.849583,4.354167;français;
Giuseppe Verdi;Otello;1887-02-05;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Francesco%20Tamagno%20as%20Otello%201887%20-%20Sadie%201992%204p639.jpg
Camille Saint-Saëns;Proserpine;1887-03-14;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Piotr Ilitch Tchaïkovski;L'Enchanteresse;1887-10-20;théâtre Mariinsky;59.925555555,30.296111111;russe;
Alexandre Borodine;Le Prince Igor;1890-11-04;théâtre Mariinsky;59.925555555,30.296111111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/RIAN%20archive%20855177%20Scene%20Prince%20Igor%20opera.jpg
Antônio Carlos Gomes;Condor;1891-02-21;La Scala;45.467777777,9.188611111;italien;
Alfredo Catalani;La Wally;1892-01-20;La Scala;45.467777777,9.188611111;italien;
Ruggero Leoncavallo;Pagliacci;1892-05-21;Teatro dal Verme;45.467222,9.181111;italien;
Piotr Ilitch Tchaïkovski;Iolanta;1892-12-18;théâtre Mariinsky;59.925555555,30.296111111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Iolanta%20spb1.JPG
André Messager;Madame Chrysanthème;1893-01-21;théâtre de la Renaissance;48.869027777,2.356388888;français;
Giacomo Puccini;Manon Lescaut;1893-02-01;Teatro Regio;45.070555555,7.687777777;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Locandina%20Manon%20Lescaut.jpg
Giuseppe Verdi;Falstaff;1893-02-09;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Poster%20falstaff1.jpg
Hector Berlioz;La Damnation de Faust;1893-02-18;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Alfred Bruneau;L'Attaque du moulin;1893-11-23;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Jules Massenet;Thaïs;1894-03-16;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/Tha%C3%AFs%20original%20poster.jpg
Pietro Mascagni;Guglielmo Ratcliff;1895-02-16;La Scala;45.467777777,9.188611111;italien;
Giacomo Puccini;La Bohème;1896-02-01;Teatro Regio;45.070555555,7.687777777;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Boheme-poster1.jpg
Umberto Giordano;Andrea Chénier;1896-03-28;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Umberto%20Giordano%20by%20Gaetano%20Esposito.jpg
Franz Schubert;Fierrabras;1897-02-09;Badisches Staatstheater Karlsruhe;49.004,8.40609;allemand;
Vincent d'Indy;Fervaal;1897-03-12;La Monnaie;50.849583,4.354167;français;
Ruggero Leoncavallo;La Bohème;1897-05-06;La Fenice;45.433333333,12.333055555;italien;http://commons.wikimedia.org/wiki/Special:FilePath/La%20boh%C3%A8me%20by%20Leoncavallo%20-%20poster%20for%20the%201897%20premiere.jpg
Enrique Granados;María del Carmen;1898-11-12;Circo Price;40.40583333,-3.69861111;espagnol;http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20del%20Carmen%2C%20de%20Cecilio%20Pla%2C%20Blanco%20y%20Negro%2C%2028-12-1901%20%28cropped%29.jpg
Jules Massenet;Cendrillon;1899-05-24;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89mile%20Bertrand%20-%20Jules%20Massenet%20-%20Cendrillon%20poster.jpg
Vicent Peydró Díez;Les barraques;1899-11-10;Teatro Princesa;39.475325,-0.38116944;;
Giacomo Puccini;Tosca;1900-01-14;Teatro dell'Opera di Roma;41.90089,12.495454;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Puccini%20Tosca.jpg
Gustave Charpentier;Louise;1900-02-02;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Victorin de Joncières;Lancelot;1900-02-07;Paris;48.856577777,2.351827777;;
Camille Erlanger;Le Juif Polonais;1900-04-11;Paris;48.856577777,2.351827777;français;
Gabriel Fauré;Prométhée;1900-08-26;Béziers;43.343333333,3.216111111;français;
Jules Massenet;Grisélidis;1901-11-20;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Claude Debussy;Pelléas et Mélisande;1902-04-30;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;http://commons.wikimedia.org/wiki/Special:FilePath/Mary%20Garden%20in%20Debussy%27s%20Pell%C3%A9as%20et%20M%C3%A9lsande.jpg
Umberto Giordano;Siberia;1903-12-19;La Scala;45.467777777,9.188611111;italien;
Giacomo Puccini;Madame Butterfly;1904-02-17;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Leopoldo%20Metlicovitz%2C%201904%20-%20Madama%20Butterfly.jpg
Giacomo Puccini;Madame Butterfly;1904-05-28;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Leopoldo%20Metlicovitz%2C%201904%20-%20Madama%20Butterfly.jpg
Giacomo Puccini;Madame Butterfly;1906-01-02;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Leopoldo%20Metlicovitz%2C%201904%20-%20Madama%20Butterfly.jpg
Sergueï Rachmaninov;Francesca da Rimini;1906-01-24;théâtre Bolchoï;55.760277777,37.618611111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Rachmaninov%20Francesca%20da%20Rimini.jpg
Carl Nielsen;Maskarade;1906-11-11;théâtre royal danois;55.679627777,12.586002777;danois;
Max von Schillings;Der Moloch;1906-12-08;Semperoper;51.054444444,13.735277777;allemand;
Nikolaï Rimski-Korsakov;La Légende de la ville invisible de Kitège et de la demoiselle Fevronia;1907-02-20;théâtre Mariinsky;59.925555555,30.296111111;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Ivan%20Bilibin%20151.jpg
Francesco Cilea;Gloria;1907-04-15;La Scala;45.467777777,9.188611111;italien;
Paul Dukas;Ariane et Barbe-Bleue;1907-05-10;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
André Messager;Fortunio;1907-06-05;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Richard Strauss;Elektra;1909-01-25;Semperoper;51.054444444,13.735277777;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Richard%20Strauss%20-%20Elektra%20-%20titlepage%20of%20the%20libretto%20-%20drawing%20by%20Lovis%20Corinth%20-%201909.png
Ermanno Wolf-Ferrari;Il Segreto di Susanna;1909-12-04;Théâtre national;48.139722222,11.578888888;italien;
Jules Massenet;Don Quichotte;1910-02-19;opéra de Monte-Carlo;43.73886,7.428481;français;
Jesús Guridi;Mirentxu;1910-05-31;Teatro Campos Elíseos;43.259658333,-2.9314;espagnol;
Ernest Bloch;Macbeth;1910-11-30;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
José Serrano;El trust de los tenorios;1910-12-03;Teatro Apolo;40.4191,-3.69618;espagnol;http://commons.wikimedia.org/wiki/Special:FilePath/El%20trust%20de%20los%20tenorios.JPG
Richard Strauss;Der Rosenkavalier;1911-01-26;Semperoper;51.054444444,13.735277777;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Sterl%20Schuch%20dirigiert%20Rosenkavalier.jpg
Maurice Ravel;L'Heure espagnole;1911-05-19;théâtre national de l'Opéra-Comique;48.870861111,2.337511111;français;
Guy Ropartz;Le Pays;1912-01-01;Nancy;48.692777777,6.183611111;français;
Richard Strauss;Ariadne auf Naxos;1912-10-25;Staatsoper Stuttgart;48.7803,9.185;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Ariadne%20Auf%20Naxos.jpg
Giacomo Puccini;La fanciulla del West;1912-12-10;Metropolitan Opera;40.7728,-73.9842;italien;
Ermanno Wolf-Ferrari;L'amore medico;1913-12-04;Semperoper;51.054444444,13.735277777;italien;
José María Usandizaga;Las golondrinas;1914-02-05;Circo Price;40.40583333,-3.69861111;espagnol;
Igor Stravinsky;Le Rossignol;1914-05-24;opéra de Paris;48.8719697,2.3316014;russe;http://commons.wikimedia.org/wiki/Special:FilePath/Solovey%20by%20A.%20Benois%2002.jpg
Max von Schillings;Mona Lisa;1915-09-26;Stuttgart;48.776111111,9.1775;;
Erich Wolfgang Korngold;Der Ring des Polykrates;1916-03-28;Théâtre national;48.139722222,11.578888888;allemand;
Alexander von Zemlinsky;Eine florentinische Tragödie;1917-01-30;Staatsoper Stuttgart;48.7803,9.185;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Zemlinsky.jpg
Giacomo Puccini;La rondine;1917-03-27;opéra de Monte-Carlo;43.73886,7.428481;italien;http://commons.wikimedia.org/wiki/Special:FilePath/La%20rondine.jpg
Pietro Mascagni;Lodoletta;1917-04-30;Teatro dell'Opera di Roma;41.90089,12.495454;italien;
Ferruccio Busoni;Arlecchino;1917-05-11;opéra de Zurich;47.365,8.546944444;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Moissi%20as%20Arlecchino.jpg
Ferruccio Busoni;Turandot;1917-05-11;opéra de Zurich;47.365,8.546944444;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Turandot-Arlechino%20Premier%20Poster%20600391.jpg
Hans Pfitzner;Palestrina;1917-06-12;théâtre du Prince-Régent;48.139,11.6056;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Palestrina%20at%20Hamburgische%20Staatsoper%202011%20-%20Photo%20No%2016%20by%20Joerg%20Landsberg.jpg
Giacomo Puccini;Gianni Schicchi;1918-12-14;Metropolitan Opera;40.7728,-73.9842;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Carambra%2C%20bozzetto%20originale%20per%20costume%20Gianni%20Schicchi%20%281918%29.JPG
Giacomo Puccini;Il tabarro;1918-12-14;Metropolitan Opera;40.7728,-73.9842;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Iltabarro-poster.jpg
Richard Strauss;Die Frau ohne Schatten;1919-10-10;Wiener Staatsoper;48.202777777,16.368472222;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Amme%20van%20Alfred%20Rollerkopie.jpg
Ede Poldini;Farsangi lakodalom;1924-02-16;opéra d'État hongrois;47.50278,19.05833;hongrois;
Emmerich Kálmán;Comtesse Maritza;1924-02-28;Theater an der Wien;48.199166666,16.363611111;;
Arturo Toscanini;Nerone;1924-05-01;La Scala;45.467777777,9.188611111;italien;
Arrigo Boito;Nerone;1924-05-01;La Scala;45.467777777,9.188611111;italien;
Antonio Smareglia;Nerone;1924-05-01;La Scala;45.467777777,9.188611111;italien;
Vincenzo Tommasini;Nerone;1924-05-01;La Scala;45.467777777,9.188611111;italien;
Arnold Schönberg;Erwartung;1924-06-06;opéra d’État de Prague;50.08028,14.43278;allemand;
Umberto Giordano;La cena delle beffe;1924-12-20;La Scala;45.467777777,9.188611111;italien;
Riccardo Zandonai;I cavalieri di Ekebù;1925-03-07;La Scala;45.467777777,9.188611111;italien;
Maurice Ravel;L'Enfant et les Sortilèges;1925-03-21;opéra de Monte-Carlo;43.73886,7.428481;français;
Alban Berg;Wozzeck;1925-12-14;Staatsoper Unter den Linden;52.516666666,13.395;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Heinrich%20Palitzsch%201974%20poster%20Wozzek.jpg
Emmerich Kálmán;La princesse de cirque;1926-03-26;Theater an der Wien;48.199166666,16.363611111;;
Giacomo Puccini;Turandot;1926-04-26;La Scala;45.467777777,9.188611111;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Poster%20Turandot.jpg
Karol Szymanowski;Le Roi Roger;1926-06-19;Grand Théâtre de Varsovie;52.24333333,21.01083333;polonais;
Paul Hindemith;Cardillac;1926-11-09;Semperoper;51.054444444,13.735277777;allemand;
