Compositeur;Titre;date de la premiere;lieu de la premiere;coordonnées;langue de l'opéra;image
Josef Mysliveček;Romolo ed Ersilia;1773-08-13;Teatro San Carlo;40.8375,14.249444444;italien;
Josef Mysliveček;La clemenza di Tito;1773-12-26;Teatro San Benedetto;45.435472222,12.3325;italien;
Wolfgang Amadeus Mozart;La finta giardiniera;1775-01-13;Théâtre national;48.139722222,11.578888888;italien;
Giovanni Paisiello;Il Socrate immaginario;1775-10-01;Teatro Nuovo;43.9827554,12.4906356;italien;
Christoph Willibald Gluck;Orphée et Euridice;1776-08-02;opéra de Paris;48.8719697,2.3316014;français;
Christoph Willibald Gluck;Armide;1777-09-23;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Honor%C3%A9%20Fragonard%20022.jpg
André Grétry;Le jugement de Midas;1778-03-28;Palais-Royal;48.863333333,2.336944444;français;
Michele Mortellari;Troia distrutta;1778-09-01;La Scala;45.467777777,9.188611111;;
Josef Mysliveček;L'Olimpiade;1778-11-04;Teatro San Carlo;40.8375,14.249444444;italien;
Joseph Haydn;L'isola disabitata;1779-12-06;palais Esterházy;48.2097,16.3669;italien;
Johann Christian Bach;Amadis de Gaule;1779-12-14;opéra de Paris;48.8719697,2.3316014;français;
Giuseppe Sarti;Giulio Sabino;1781-01-01;Teatro San Benedetto;45.435472222,12.3325;italien;
Niccolò Vito Piccinni;Iphigénie en Tauride;1781-01-23;opéra de Paris;48.8719697,2.3316014;français;
Joseph Haydn;La Fedeltà premiata;1781-02-25;palais Esterházy;47.61944,16.87167;italien;
Giuseppe Sarti;Fra i due litiganti il terzo gode;1782-09-14;La Scala;45.467777777,9.188611111;italien;
Giovanni Paisiello;Il barbiere di Siviglia;1782-09-17;musée de l'Ermitage;59.940556,30.313611;italien;
Antonio Sacchini;Renaud;1783-02-28;opéra de Paris;48.8719697,2.3316014;français;
Antonio Sacchini;Chimène;1783-11-16;château de Fontainebleau;48.402222222,2.700555555;français;
Antonio Salieri;Les Danaïdes;1784-04-26;opéra de Paris;48.8719697,2.3316014;français;
Antonio Sacchini;Dardanus;1784-09-18;château de Versailles;48.804805555,2.120333333;français;
Niccolò Antonio Zingarelli;Alsinda;1785-02-22;La Scala;45.467777777,9.188611111;;
